Experiment,rev,typ,Created,parent,State,Executor,metrics/train_metrics.json:accuracy,metrics/train_metrics.json:precision,metrics/train_metrics.json:recall,metrics/train_metrics.json:f1_score,metrics/train_metrics.json:roc_auc,metrics/test_metrics.json:accuracy,metrics/test_metrics.json:precision,metrics/test_metrics.json:recall,metrics/test_metrics.json:f1_score,metrics/test_metrics.json:roc_auc,preprocess.test_size,preprocess.random_state,train.n_estimators,train.max_depth,train.min_samples_split,train.min_samples_leaf,train.max_features,train.random_state,evaluate.threshold,data/processed/test.csv,data/processed/train.csv,data/raw/application_train.csv,data/raw/home_credit_raw.csv,models/credit_model.pkl,src/data/load_data.py,src/data/preprocess.py,src/models/evaluate.py,src/models/train.py
,workspace,baseline,,,,,0.9894800169100192,0.8951679326439096,0.9850453172205438,0.9379584791676655,0.9984013084961907,0.9094190527291351,0.33674568965517243,0.12588116817724068,0.18325758686409618,0.7429106116439899,0.2,42,300,25,6,2,log2,42,0.5,075aa110440308737923624b7acf0ce1,d3221d7352c4ec42100eb304ae60185e,793a017f41fbac1dc28176b26dbab30e,a6d63fdce8d0dc089c03a1bfea35cedf,353b72428924be05973d06e0274cf6fe,dbe6e469fd6c65f8337ce661e3c79424,34f66591d19f38e1831457cba034ecc7,068ee13b3dbc96c5506e865624f50a78,de27f15c7a65e786677b8b7e7b57eb8f
,master,baseline,2025-10-13T14:44:33,,,,0.9894800169100192,0.8951679326439096,0.9850453172205438,0.9379584791676655,0.9984013084961907,0.9094190527291351,0.33674568965517243,0.12588116817724068,0.18325758686409618,0.7429106116439899,0.2,42,300,25,6,2,log2,42,0.5,075aa110440308737923624b7acf0ce1,d3221d7352c4ec42100eb304ae60185e,793a017f41fbac1dc28176b26dbab30e,a6d63fdce8d0dc089c03a1bfea35cedf,353b72428924be05973d06e0274cf6fe,dbe6e469fd6c65f8337ce661e3c79424,34f66591d19f38e1831457cba034ecc7,068ee13b3dbc96c5506e865624f50a78,de27f15c7a65e786677b8b7e7b57eb8f
,53d60f9,baseline,2025-10-13T12:18:39,,,,0.9894800169100192,0.8951679326439096,0.9850453172205438,0.9379584791676655,0.9984013084961907,0.9094190527291351,0.33674568965517243,0.12588116817724068,0.18325758686409618,0.7429106116439899,0.2,42,300,25,6,2,log2,42,0.5,075aa110440308737923624b7acf0ce1,d3221d7352c4ec42100eb304ae60185e,793a017f41fbac1dc28176b26dbab30e,a6d63fdce8d0dc089c03a1bfea35cedf,353b72428924be05973d06e0274cf6fe,dbe6e469fd6c65f8337ce661e3c79424,34f66591d19f38e1831457cba034ecc7,068ee13b3dbc96c5506e865624f50a78,de27f15c7a65e786677b8b7e7b57eb8f
production_candidate,46c5cf0,branch_commit,2025-10-13T14:05:27,,Success,Dvc-task,0.8772722838281682,0.3785898942420682,0.8111278952668681,0.5162313731773754,0.9351667248502754,0.8319268978749004,0.2161276685690129,0.4118831822759315,0.28349622236085115,0.7403656755091006,0.2,42,200,16,8,3,sqrt,42,0.5,075aa110440308737923624b7acf0ce1,d3221d7352c4ec42100eb304ae60185e,793a017f41fbac1dc28176b26dbab30e,a6d63fdce8d0dc089c03a1bfea35cedf,5a7b0989bfa900ffe10dd462a3c304e1,dbe6e469fd6c65f8337ce661e3c79424,34f66591d19f38e1831457cba034ecc7,068ee13b3dbc96c5506e865624f50a78,de27f15c7a65e786677b8b7e7b57eb8f
ultra_optimized,d3a6af8,branch_commit,2025-10-13T14:04:03,,Success,Dvc-task,0.8703009658222497,0.3652852637935276,0.8224068479355489,0.5058770693633563,0.932262954652178,0.8236833975578427,0.20858530782194903,0.42376636455186306,0.27956417751793783,0.7350066725168081,0.2,42,185,15,7,4,0.65,42,0.5,075aa110440308737923624b7acf0ce1,d3221d7352c4ec42100eb304ae60185e,793a017f41fbac1dc28176b26dbab30e,a6d63fdce8d0dc089c03a1bfea35cedf,2c2b13b0dd020f5e4aceb63afda44c85,dbe6e469fd6c65f8337ce661e3c79424,34f66591d19f38e1831457cba034ecc7,068ee13b3dbc96c5506e865624f50a78,de27f15c7a65e786677b8b7e7b57eb8f
stable_learner,9a04e15,branch_commit,2025-10-13T14:02:29,,Success,Dvc-task,0.8097216350687783,0.2621611126800339,0.7478851963746224,0.38823252653039886,0.8727040465671216,0.7823845991252459,0.19154392906865977,0.5264853977844914,0.28089404685149366,0.742556179720244,0.2,42,160,14,11,6,log2,42,0.5,075aa110440308737923624b7acf0ce1,d3221d7352c4ec42100eb304ae60185e,793a017f41fbac1dc28176b26dbab30e,a6d63fdce8d0dc089c03a1bfea35cedf,a89e8ca42294826365603a6eefdde2f6,dbe6e469fd6c65f8337ce661e3c79424,34f66591d19f38e1831457cba034ecc7,068ee13b3dbc96c5506e865624f50a78,de27f15c7a65e786677b8b7e7b57eb8f
diverse_forest,e40f355,branch_commit,2025-10-13T14:01:19,,Success,Dvc-task,0.9174091899450424,0.493702216599747,0.9039274924471299,0.6386112198071928,0.9659491987806256,0.856966326845845,0.23351877607788596,0.33816717019133935,0.27626491155902916,0.7346539042247588,0.2,42,210,17,5,2,0.45,42,0.5,075aa110440308737923624b7acf0ce1,d3221d7352c4ec42100eb304ae60185e,793a017f41fbac1dc28176b26dbab30e,a6d63fdce8d0dc089c03a1bfea35cedf,3cf72eda9f6b259cae6f189122c4cc89,dbe6e469fd6c65f8337ce661e3c79424,34f66591d19f38e1831457cba034ecc7,068ee13b3dbc96c5506e865624f50a78,de27f15c7a65e786677b8b7e7b57eb8f
fast_accurate,232f0cd,branch_commit,2025-10-13T13:59:34,,Success,Dvc-task,0.7666742544957887,0.21501017278552123,0.7130412890231621,0.33039359790952144,0.8319891147400892,0.7498658602019413,0.17701035402070806,0.5750251762336355,0.27069308808191905,0.7389229220910589,0.2,42,130,11,6,3,0.55,42,0.5,075aa110440308737923624b7acf0ce1,d3221d7352c4ec42100eb304ae60185e,793a017f41fbac1dc28176b26dbab30e,a6d63fdce8d0dc089c03a1bfea35cedf,c843b8ce1189618981647dc6047a02e8,dbe6e469fd6c65f8337ce661e3c79424,34f66591d19f38e1831457cba034ecc7,068ee13b3dbc96c5506e865624f50a78,de27f15c7a65e786677b8b7e7b57eb8f
balanced_premium,0e51409,branch_commit,2025-10-13T13:58:08,,Success,Dvc-task,0.7946042405125037,0.24395986041308376,0.7356998992950654,0.3664154681446001,0.8581184271469882,0.7717347121278637,0.18684428492545554,0.5452165156092649,0.2783118285097414,0.7411188767443776,0.2,42,190,13,7,2,log2,42,0.5,075aa110440308737923624b7acf0ce1,d3221d7352c4ec42100eb304ae60185e,793a017f41fbac1dc28176b26dbab30e,a6d63fdce8d0dc089c03a1bfea35cedf,1b2099cd2d4f0133024775221d236422,dbe6e469fd6c65f8337ce661e3c79424,34f66591d19f38e1831457cba034ecc7,068ee13b3dbc96c5506e865624f50a78,de27f15c7a65e786677b8b7e7b57eb8f
precision_model,2abb1ab,branch_commit,2025-10-13T13:56:52,,Success,Dvc-task,0.8709310266332803,0.3671819156540386,0.827693856998993,0.5086959212725134,0.9326896670310512,0.823764694405151,0.20897740784780025,0.42477341389728096,0.2801354851564057,0.7345397869276096,0.2,42,170,15,9,2,0.7,42,0.5,075aa110440308737923624b7acf0ce1,d3221d7352c4ec42100eb304ae60185e,793a017f41fbac1dc28176b26dbab30e,a6d63fdce8d0dc089c03a1bfea35cedf,e5db37743ea07d66efc273b5f857a2de,dbe6e469fd6c65f8337ce661e3c79424,34f66591d19f38e1831457cba034ecc7,068ee13b3dbc96c5506e865624f50a78,de27f15c7a65e786677b8b7e7b57eb8f
